0,21
1,34
2,23
3,23
4,19
5,27
6,28
7,33
8,24
9,36
10,31
11,38
12,23
13,35
14,51
15,11
16,32
17,32
18,36
19,23
20,41
21,31
22,49
23,49
24,20
25,34
26,35
27,14
28,23
29,30
30,48
31,26
32,27
33,38
34,24
35,30
36,33
37,47
38,18
39,22
40,33
41,30
42,33
43,14
44,29
45,34
46,27
47,45
48,13
49,54
50,22
51,28
52,38
53,38
54,24
55,30
56,44
57,20
58,43
59,31
60,28
61,22
62,42
63,29
64,25
65,38
66,31
67,39
68,26
69,20
70,35
71,20
72,16
73,28
74,42
75,32
76,30
77,34
78,26
79,48
80,26
81,27
82,19
83,35
84,18
85,30
86,26
87,36
88,42
89,26
90,25
91,31
92,20
93,12
94,20
95,33
96,30
97,9
98,29
99,24
