0,9
1,11
2,15
3,19
4,14
5,19
6,12
7,4
8,20
9,8
10,8
11,20
12,14
13,22
14,14
15,17
16,12
17,11
18,12
19,12
20,7
21,12
22,16
23,18
24,12
25,12
26,13
27,3
28,10
29,13
30,7
31,10
32,14
33,17
34,18
35,12
36,13
37,11
38,21
39,14
40,12
41,10
42,18
43,8
44,13
45,15
46,12
47,5
48,9
49,12
50,19
51,16
52,12
53,8
54,12
55,22
56,14
57,10
58,9
59,12
60,10
61,16
62,8
63,13
64,13
65,12
66,8
67,8
68,18
69,9
70,14
71,11
72,12
73,12
74,11
75,12
76,12
77,7
78,13
79,17
80,18
81,12
82,11
83,15
84,14
85,6
86,8
87,12
88,5
89,12
90,16
91,18
92,13
93,15
94,10
95,13
96,11
97,14
98,11
99,22
