0,71
1,45
2,45
3,32
4,49
5,66
6,39
7,30
8,57
9,64
10,51
11,72
12,34
13,46
14,38
15,42
16,38
17,52
18,63
19,37
20,72
21,62
22,50
23,22
24,51
25,42
26,50
27,53
28,83
29,44
30,56
31,38
32,50
33,57
34,15
35,41
36,66
37,29
38,54
39,63
40,73
41,45
42,47
43,32
44,52
45,32
46,42
47,53
48,63
49,62
50,55
51,66
52,44
53,39
54,43
55,40
56,66
57,38
58,55
59,71
60,72
61,49
62,49
63,66
64,53
65,46
66,33
67,60
68,30
69,53
70,75
71,66
72,45
73,59
74,51
75,64
76,43
77,45
78,34
79,63
80,63
81,57
82,48
83,40
84,64
85,38
86,73
87,64
88,41
89,45
90,45
91,49
92,33
93,26
94,43
95,66
96,58
97,45
98,24
99,50
