0,44
1,56
2,39
3,51
4,45
5,31
6,55
7,51
8,57
9,34
10,50
11,48
12,47
13,48
14,60
15,47
16,40
17,40
18,38
19,48
20,60
21,53
22,46
23,48
24,33
25,29
26,35
27,40
28,57
29,41
30,37
31,42
32,50
33,42
34,31
35,55
36,54
37,47
38,46
39,52
40,30
41,24
42,42
43,47
44,48
45,53
46,37
47,51
48,58
49,58
50,35
51,59
52,49
53,43
54,40
55,59
56,42
57,41
58,60
59,34
60,27
61,27
62,48
63,44
64,50
65,66
66,45
67,43
68,44
69,59
70,51
71,57
72,35
73,66
74,54
75,45
76,61
77,67
78,60
79,41
80,20
81,54
82,52
83,37
84,14
85,53
86,32
87,49
88,38
89,68
90,63
91,31
92,34
93,32
94,32
95,58
96,54
97,50
98,48
99,22
