0,37
1,15
2,48
3,60
4,46
5,58
6,45
7,14
8,35
9,20
10,56
11,56
12,53
13,25
14,63
15,33
16,54
17,53
18,81
19,45
20,59
21,56
22,51
23,60
24,72
25,36
26,30
27,52
28,56
29,33
30,35
31,58
32,53
33,34
34,43
35,40
36,36
37,52
38,74
39,47
40,35
41,0
42,41
43,55
44,16
45,41
46,49
47,29
48,24
49,54
50,42
51,57
52,50
53,41
54,58
55,48
56,55
57,54
58,52
59,61
60,57
61,51
62,56
63,40
64,48
65,38
66,54
67,57
68,47
69,92
70,63
71,52
72,66
73,52
74,71
75,13
76,53
77,50
78,63
79,50
80,68
81,58
82,37
83,37
84,42
85,43
86,48
87,43
88,51
89,53
90,53
91,31
92,36
93,51
94,47
95,36
96,46
97,40
98,41
99,81
