0,9
1,7
2,13
3,14
4,21
5,7
6,9
7,14
8,9
9,15
10,9
11,9
12,8
13,10
14,10
15,16
16,16
17,9
18,9
19,13
20,9
21,9
22,9
23,17
24,7
25,14
26,11
27,12
28,14
29,6
30,10
31,8
32,13
33,18
34,9
35,7
36,19
37,14
38,12
39,13
40,6
41,18
42,9
43,5
44,9
45,13
46,12
47,7
48,12
49,12
50,10
51,16
52,5
53,12
54,10
55,3
56,11
57,11
58,13
59,8
60,13
61,14
62,12
63,11
64,10
65,12
66,15
67,18
68,12
69,14
70,11
71,12
72,4
73,15
74,7
75,21
76,14
77,12
78,11
79,9
80,16
81,11
82,18
83,20
84,12
85,13
86,14
87,6
88,9
89,10
90,4
91,10
92,13
93,8
94,13
95,7
96,9
97,10
98,16
99,16
